,date,yrMnth,dayOW,account,company,companyCode,cost,spenInc,category.unique,subcategory.unique
1,4/3/2017,Apr-17,Mon,Checking,,,-40,Spend,ATM,ATM
2,4/13/2017,Apr-17,Thu,Checking,,,-40,Spend,ATM,ATM
3,4/24/2017,Apr-17,Mon,Checking,,,-53,Spend,ATM,ATM
4,6/13/2017,Jun-17,Tue,Checking,,,-103,Spend,ATM,ATM
5,6/19/2017,Jun-17,Mon,Checking,,,-83,Spend,ATM,ATM
6,7/28/2017,Jul-17,Fri,Checking,,,-100,Spend,ATM,ATM
7,8/7/2017,Aug-17,Mon,Checking,,,-103,Spend,ATM,ATM
8,8/18/2017,Aug-17,Fri,Checking,,,-103.5,Spend,ATM,ATM
9,8/18/2017,Aug-17,Fri,Checking,,,-43.5,Spend,ATM,ATM
10,9/8/2017,Sep-17,Fri,Checking,,,-203.5,Spend,ATM,ATM
11,9/19/2017,Sep-17,Tue,Checking,,,-40,Spend,ATM,ATM
12,10/2/2017,Oct-17,Mon,Checking,,,-80,Spend,ATM,ATM
13,10/13/2017,Oct-17,Fri,Checking,,,-103.5,Spend,ATM,ATM
14,10/23/2017,Oct-17,Mon,Checking,,,-33,Spend,ATM,ATM
15,10/23/2017,Oct-17,Mon,Checking,,,-83,Spend,ATM,ATM
16,12/1/2017,Dec-17,Fri,Checking,,,-203,Spend,ATM,ATM
17,12/8/2017,Dec-17,Fri,Checking,,,-103.5,Spend,ATM,ATM
18,12/11/2017,Dec-17,Mon,Checking,,,-63,Spend,ATM,ATM
19,2/5/2018,Feb-18,Mon,Checking,,,-63.75,Spend,ATM,ATM
20,5/7/2018,May-18,Mon,Checking,,,-153,Spend,ATM,ATM
21,5/10/2018,May-18,Thu,Checking,,,-63.75,Spend,ATM,ATM
22,7/9/2018,Jul-18,Mon,Checking,,,-103.5,Spend,ATM,ATM
23,7/20/2018,Jul-18,Fri,Checking,,,-53.75,Spend,ATM,ATM
24,7/24/2018,Jul-18,Tue,Amex,,,-33.36,Spend,ATM,ATM
25,8/3/2018,Aug-18,Fri,Checking,,,-63.5,Spend,ATM,ATM
26,8/6/2018,Aug-18,Mon,Checking,,,-103,Spend,ATM,ATM
27,8/30/2018,Aug-18,Thu,Checking,,,-63,Spend,ATM,ATM
28,8/30/2018,Aug-18,Thu,Checking,,,-103.5,Spend,ATM,ATM
29,9/7/2018,Sep-18,Fri,Checking,,,-100,Spend,ATM,ATM
30,10/2/2018,Oct-18,Tue,Checking,,,-62.25,Spend,ATM,ATM
31,10/18/2018,Oct-18,Thu,Checking,,,-103,Spend,ATM,ATM
32,10/24/2018,Oct-18,Wed,Amex,,,-37.66,Spend,ATM,ATM
33,11/2/2018,Nov-18,Fri,Checking,,,-60,Spend,ATM,ATM
34,11/3/2018,Nov-18,Sat,Amex,,,-25.18,Spend,ATM,ATM
35,11/3/2018,Nov-18,Sat,Amex,,,-12.48,Spend,ATM,ATM
36,11/14/2018,Nov-18,Wed,Checking,,,-60,Spend,ATM,ATM
37,1/2/2019,Jan-19,Wed,Checking,,,-60,Spend,ATM,ATM
38,1/28/2019,Jan-19,Mon,Checking,,,-160,Spend,ATM,ATM
39,2/11/2019,Feb-19,Mon,Checking,,,-63.5,Spend,ATM,ATM
40,3/1/2019,Mar-19,Fri,Checking,,,-60,Spend,ATM,ATM
